x,y,z,token
19.230886,-28.971788,-0.8190415,10
-5.201967,23.307465,20.240408,again
-1.8234853,-15.770247,-26.519554,father
19.161917,-29.04388,-2.1044035,11
-1.382112,10.525826,10.187456,old
25.474676,-1.6629434,-1.5161914,land
12.344239,-24.146597,-1.227648,o
-3.7966108,25.8318,21.368568,away
19.0152,-28.765707,-2.6130192,12
-11.377244,1.2585717,0.5641579,things
-10.09131,-3.3124304,-3.6772842,thing
-5.5745773,-14.126697,24.277388,might
1.4145172,-0.53724194,31.522646,first
-4.7732186,-3.6765258,12.109345,way
19.1345,-29.637625,-1.740753,13
1.6439301,-11.272212,27.76003,because
19.857622,-29.783812,-1.986722,14
12.836965,4.956603,15.674433,where
-24.324,-14.056776,17.24213,never
-1.2402304,-10.296968,18.025488,give
20.390158,-29.042631,-1.4672705,15
3.6593812,-19.793108,-23.211992,nor
-16.915844,-3.4152708,19.350534,here
-13.97011,-8.174035,24.770304,"!"""
-4.857624,19.98462,2.21485,long
20.343586,-14.786291,3.5379956,saying
-1.7081696,-10.730195,18.439747,take
2.621389,-10.39013,27.99841,though
-3.0889049,9.768089,26.424898,himself
19.7416,-27.948736,-1.1374905,16
-10.827995,-14.114433,18.243671,think
7.10742,2.3738413,-19.535028,earth
-3.2911441,2.9110792,-2.0865803,those
3.0790946,-5.0789146,5.947076,ever
-6.4390287,-3.3748524,26.95614,has
8.52791,-10.690873,25.620232,being
2.9752512,6.7133403,-24.516806,saw
13.096333,-28.584595,0.15274698,therefore
19.96424,-29.675686,-1.2035397,18
-3.917644,6.798955,-27.608004,heard
5.4588623,17.291536,25.553576,put
-0.67351043,4.1019077,-5.7901964,many
0.20174637,22.56212,-2.613848,through
12.814834,6.1940694,16.889078,place
-3.440571,-7.279757,2.9267602,without
-10.4136,6.4151025,5.388688,most
20.266705,-30.151049,-1.2973003,19
20.00717,-28.844355,-1.9705095,17
3.84476,-15.297895,-19.555113,heart
10.231833,23.62958,10.979678,head
17.778624,-18.082722,8.032851,name
-20.201292,-6.103719,10.759876,too
20.890213,-29.041851,-0.83576393,20
2.1461916,-8.782799,21.744968,nothing
19.81437,-26.791103,5.8143945,behold
20.527819,-29.33941,-2.4058764,21
5.9433546,-7.2253375,-14.358835,life
21.011543,-29.48313,-1.4888897,22
-12.241659,26.76704,-6.8638363,eyes
-3.764947,-6.3519845,-17.58167,whom
18.343887,-3.432374,-1.1815501,among
-12.711477,22.33887,15.004448,still
-22.170149,-9.871929,12.474586,thought
12.041229,17.257885,-18.29635,sea
-12.519691,1.4791417,20.527065,mr
1.4134444,-0.53599435,31.525389,last
-0.3502399,4.6753387,19.80158,just
-9.079093,-24.758762,-3.9621968,done
-3.7946649,25.831715,21.368017,off
11.727259,-16.056345,7.5065384,word
-7.986858,4.314049,-17.778715,its
-5.269177,-5.795713,-16.688034,world
21.110254,-28.021786,-1.2366405,23
6.3057556,-30.828785,6.1793947,thou_shalt
-12.421927,27.316267,-7.763203,face
-11.046435,-7.102015,21.475647,why
1.8480524,13.022996,27.852242,night
35.067722,-4.6951995,-7.448572,days
-10.475162,1.6691287,7.677316,same
-15.032169,5.5185184,4.2491965,found
-0.99145633,8.637083,-29.875067,voice
11.936067,5.829468,22.213516,another
-2.6895764,-0.91941494,-30.596972,took
10.525463,-12.9480295,6.468979,hear
13.797862,-6.4930735,0.89362377,brought
5.032342,-29.38026,3.2060592,hast
15.654967,9.9611435,20.316431,three
6.500585,0.8677973,6.5368223,while
-1.9009671,-15.47074,-26.533579,mother
16.491571,-1.0166802,-9.755068,forth
31.735048,-15.351287,-3.758138,sons
20.504967,-29.633255,-0.50771093,24
-3.126924,-5.063802,14.775397,look
6.855025,2.2359087,-19.525896,heaven
17.406982,-4.542887,14.744548,set
27.859808,5.230797,4.869991,side
17.975504,19.336504,12.794713,round
11.450547,-4.056686,7.094469,young
-10.2933655,-15.013826,19.398218,tell
-9.934177,4.2568893,7.5422025,right
18.487488,-18.19565,8.216336,called
2.529942,11.150608,7.535681,under
-5.245977,23.292568,20.064924,back
-3.7250152,-24.433327,-9.106016,love
24.70355,-18.217714,-1.1691,david
3.659862,-19.79328,-23.208994,neither
-20.468481,7.552165,22.37099,cried
23.122034,-10.44961,7.8926063,pass
-15.048463,20.126842,-6.7840776,seemed
-19.912014,9.6256485,3.2343953,soon
-20.179644,-7.890951,11.0216875,quite
21.141142,-28.687435,-0.26166,25
-11.179158,-3.6856618,19.129572,oh
6.550775,-4.2921495,-7.3649755,both
4.264511,30.638172,10.077131,whale
12.639398,-16.296066,5.928729,words
24.295996,1.414474,1.6834385,city
6.4248977,-25.253845,0.05276156,thine
20.039377,-30.11909,-0.19014767,26
-1.2282759,14.150322,12.097621,left
7.181966,-24.52661,-0.016189577,mine
-2.262614,7.5216417,17.789478,till
-14.503098,-9.331501,11.907674,always
11.503942,0.56268257,13.338849,hands
-0.3321386,-27.226862,-2.7516131,speak
7.169975,-17.361788,4.9693623,bring
-13.315953,28.357601,7.991452,looked
5.843196,-7.1397667,-14.298867,death
-26.588121,4.278824,22.89488,herself
8.135014,-7.453945,4.308362,woman
22.160917,-28.742256,-0.6201284,27
-0.29108164,7.5340734,4.198832,far
-16.226017,-14.176242,22.218575,something
-15.5271845,3.4965022,6.1287923,whole
-4.568251,6.8038864,-26.627432,seen
-4.3960466,8.6933565,17.82258,once
-10.122569,28.938707,6.051484,stood
6.391723,-3.2637827,-14.290827,thus
-15.839454,-12.053768,9.219811,.--
23.97647,2.0284653,-5.949763,thereof
1.2210852,4.148383,19.376442,half
-2.7184663,-0.9311124,-30.626478,gave
3.6944613,-15.368899,-19.890505,soul
-15.19657,0.58388954,19.376665,poor
35.25451,-4.7768517,-6.801507,years
19.502712,-18.882391,2.0318787,sent
-8.972207,2.688301,5.456542,end
21.664043,-29.737532,-1.9551288,28
17.43443,4.5222406,-11.463417,fire
7.0721893,-7.531791,17.782787,work
6.9327455,6.826549,-20.795534,high
12.51026,-10.00311,1.8994844,together
-35.61979,11.34895,-3.213119,morning
-13.266065,-25.771358,0.28527308,better
-17.10579,-10.004033,11.850966,indeed
19.281067,-19.991663,-6.844374,according
-33.892532,-3.8675153,11.286159,emma
32.991604,-21.34544,-2.0279193,moses
-6.403071,-2.5352461,-9.172041,part
23.214804,-0.19902249,-15.773838,eat
-13.10126,-16.38543,-20.465464,given
-19.120749,-12.039777,16.779743,sure
-9.440333,-11.022065,21.346598,don_t
13.993775,-26.301155,-0.83333844,saith
30.236189,-4.932322,-0.7320397,jerusalem
9.870613,-1.1559385,-2.363888,full
3.2823935,-7.00033,-7.920066,whose
30.557076,-4.843025,-1.5729363,judah
19.893972,15.76167,0.3542131,water
-6.5611057,-10.428347,25.486914,cannot
2.3234904,-18.447847,-13.393083,evil
12.220136,7.093065,23.191895,each
-5.6525416,10.698225,17.934923,rather
-20.039062,-6.4791837,11.158825,enough
26.184193,-21.971691,2.5760865,brother
15.941338,-15.1831875,6.8999085,answered
21.345201,-30.289257,-3.2372665,29
